date,#repositories,precision_package,recall_package,precision_library,recall_library,precision_service,recall_service,precision_script,recall_script,precision_avg,recall_avg,errors
03/08/2021 22:39,96,1,0.739130435,0.823529412,1,0.9375,1,0.965517241,0.933333333,0.931636663,0.918115942,"['face_classification', 'autojump', 'defoe', 'rtdl', 'airflow', 'pyLODE', 'qnorm', 'HXL-Data-Science-file-formats']"
03/08/2021 22:56,96,1,0.739130435,0.823529412,1,0.9375,1,0.965517241,0.933333333,0.931636663,0.918115942,"['face_classification', 'autojump', 'defoe', 'rtdl', 'airflow', 'pyLODE', 'qnorm', 'HXL-Data-Science-file-formats']"
04/08/2021 16:43,94,0.947368421,0.857142857,0.9,0.964285714,0.9375,0.964285714,0.962962963,0.928571429,0.936957846,0.9375,"['Graphormer', 'HXL-Data-Science-file-formats', 'autojump', 'qnorm', 'obspy', 'Calliar', 'rtdl', 'fabric', 'face_classification']"
05/08/2021 17:50,95,0.95,0.863636364,0.9,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.93825431,0.940313853,"['HXL-Data-Science-file-formats', 'autojump', 'qnorm', 'rtdl', 'fabric', 'face_classification']"
06/08/2021 14:01,95,0.952380952,0.909090909,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.946608169,0.951677489,"['HXL-Data-Science-file-formats', 'autojump', 'rtdl', 'fabric', 'face_classification']"
16/08/2021 17:03,95,0.952380952,0.909090909,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.946608169,0.951677489,"['HXL-Data-Science-file-formats', 'autojump', 'rtdl', 'fabric', 'morph-csv']"
17/08/2021 23:21,95,0.952380952,0.909090909,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.946608169,0.951677489,"['HXL-Data-Science-file-formats', 'autojump', 'rtdl', 'fabric', 'morph-csv']"
18/08/2021 15:36,95,0.952380952,0.909090909,0.931034483,0.964285714,0.909090909,0.964285714,0.823529412,0.933333333,0.904008939,0.868344156,"['HXL-Data-Science-file-formats', 'autojump', 'Chowlk', 'wikidata-reservation', 'rtdl', 'tada-web', 'fabric', 'morph-csv', 'kgtk-browser', 'Morph-OME']"
18/08/2021 20:54,96,0.952380952,0.869565217,0.9,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.938849548,0.941796066,"['autojump', 'rtdl', 'pyLODE', 'HXL-Data-Science-file-formats', 'morph-csv', 'fabric']"
19/08/2021 00:16,96,0.954545455,0.913043478,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.947149295,0.952665631,"['autojump', 'rtdl', 'HXL-Data-Science-file-formats', 'morph-csv', 'fabric']"
19/08/2021 17:22,95,0.952380952,0.909090909,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.946608169,0.951677489,"['HXL-Data-Science-file-formats', 'autojump', 'rtdl', 'fabric', 'morph-csv']"
19/08/2021 20:11,96,0.954545455,0.913043478,0.931034483,0.964285714,0.9375,0.964285714,0.965517241,0.933333333,0.947149295,0.952665631,"['autojump', 'rtdl', 'HXL-Data-Science-file-formats', 'morph-csv', 'fabric']"
25/08/2021 18:49,96,0.954545455,0.913043478,0.931034483,0.964285714,1,0.964285714,0.935483871,0.966666667,0.955265952,0.944332298,"['autojump', 'rtdl', 'tada-gam', 'HXL-Data-Science-file-formats', 'fabric']"
26/08/2021 01:54,95,0.952380952,0.909090909,0.931034483,0.964285714,0.933333333,0.964285714,0.933333333,0.933333333,0.937520525,0.935010823,"['HXL-Data-Science-file-formats', 'autojump', 'tada-gam', 'rtdl', 'fabric', 'morph-csv']"
26/08/2021 02:10,95,0.952380952,0.909090909,0.931034483,0.964285714,0.933333333,0.964285714,0.933333333,0.933333333,0.937520525,0.935010823,"['HXL-Data-Science-file-formats', 'autojump', 'tada-gam', 'rtdl', 'fabric', 'morph-csv']"
26/08/2021 21:13,96,0.954545455,0.913043478,0.931034483,0.964285714,1,0.964285714,0.935483871,0.966666667,0.955265952,0.944332298,"['autojump', 'rtdl', 'tada-gam', 'HXL-Data-Science-file-formats', 'fabric']"
